fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-08-04,91,hash-2,hash,Provenance Blockchain,0.02824472,1345483341,19361.65,0.03372734,0.02451138,2.37423,2025-08-04T23:25:37.793Z
2025-08-04,92,injective-protocol,inj,Injective,13.68,1337289605,145696557.0,13.9,12.98,4.95342,2025-08-04T23:25:38.437Z
2025-08-04,93,nexo,nexo,NEXO,1.33,1324779655,10884620.0,1.33,1.31,0.3006,2025-08-04T23:25:39.418Z
2025-08-04,94,curve-dao-token,crv,Curve DAO,0.940272,1299209791,305753261.0,0.9478,0.890079,2.7796,2025-08-04T23:25:37.185Z
2025-08-04,95,first-digital-usd,fdusd,First Digital USD,0.998174,1288470662,6213072619.0,1.005,0.995422,0.10967,2025-08-04T23:25:37.650Z
2025-08-04,96,blockstack,stx,Stacks,0.713196,1276120961,28831663.0,0.717111,0.684037,3.49661,2025-08-04T23:25:43.713Z
2025-08-04,97,celestia,tia,Celestia,1.71,1257329986,86391847.0,1.72,1.62,3.99646,2025-08-04T23:25:36.631Z
2025-08-04,98,optimism,op,Optimism,0.708095,1242314655,182769883.0,0.713334,0.656139,7.57023,2025-08-04T23:25:42.362Z
2025-08-04,99,renzo-restaked-eth,ezeth,Renzo Restaked ETH,3931.06,1226295822,3429854.0,3935.04,3682.06,6.09417,2025-08-04T23:25:40.307Z
2025-08-04,100,polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),0.999759,1215046406,39616597.0,1.0,0.999624,0.00241,2025-08-04T23:25:40.298Z
